run-id,use_vernalisation_fix,sowing-date,harvest-date,crop-id,sim.json,crop.json,site.json,incl_hist,climate_path_to_latlon_file,climate_path_to_csvs,gcm,rcm,scenario,ensmem,version,start_date,end_date,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,comment,region_name,species_param_name,cultivar_param_name,param_value,param_index_in_array,coeff,crop_data
1,True,fixed,auto,PO_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2005-02-01,2005-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.71,,historic_runs,BRA_BER,,,,,,BB_CType12_2005_100_25832_etrs89-utm32n.asc
2,True,fixed,auto,PO_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2006-02-01,2006-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.71,,historic_runs,BRA_BER,,,,,,BB_CType12_2006_100_25832_etrs89-utm32n.asc
3,True,fixed,auto,PO_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2007-02-01,2007-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.71,,historic_runs,BRA_BER,,,,,,BB_CType12_2007_100_25832_etrs89-utm32n.asc
4,True,fixed,auto,PO_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2008-02-01,2008-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.71,,historic_runs,BRA_BER,,,,,,BB_CType12_2008_100_25832_etrs89-utm32n.asc
5,True,fixed,auto,PO_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2009-02-01,2009-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.71,,historic_runs,BRA_BER,,,,,,BB_CType12_2009_100_25832_etrs89-utm32n.asc
6,True,fixed,auto,PO_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2010-02-01,2010-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.71,,historic_runs,BRA_BER,,,,,,BB_CType12_2010_100_25832_etrs89-utm32n.asc
7,True,fixed,auto,PO_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2011-02-01,2011-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.71,,historic_runs,BRA_BER,,,,,,BB_CType12_2011_100_25832_etrs89-utm32n.asc
8,True,fixed,auto,PO_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2012-02-01,2012-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.71,,historic_runs,BRA_BER,,,,,,BB_CType12_2012_100_25832_etrs89-utm32n.asc
9,True,fixed,auto,PO_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2013-02-01,2013-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.71,,historic_runs,BRA_BER,,,,,,BB_CType12_2013_100_25832_etrs89-utm32n.asc
10,True,fixed,auto,PO_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2014-02-01,2014-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.71,,historic_runs,BRA_BER,,,,,,BB_CType12_2014_100_25832_etrs89-utm32n.asc
11,True,fixed,auto,PO_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2015-02-01,2015-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.71,,historic_runs,BRA_BER,,,,,,BB_CType12_2015_100_25832_etrs89-utm32n.asc
12,True,fixed,auto,PO_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2016-02-01,2016-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.71,,historic_runs,BRA_BER,,,,,,BB_CType12_2016_100_25832_etrs89-utm32n.asc
13,True,fixed,auto,PO_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2017-02-01,2017-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.71,,historic_runs,BRA_BER,,,,,,BB_CType12_2017_100_25832_etrs89-utm32n.asc
14,True,fixed,auto,PO_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-02-01,2018-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.71,,historic_runs,BRA_BER,,,,,,BB_CType12_2018_100_25832_etrs89-utm32n.asc
15,True,fixed,auto,PO_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2019-02-01,2019-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.71,,historic_runs,BRA_BER,,,,,,BB_CType12_2019_100_25832_etrs89-utm32n.asc
16,True,fixed,auto,PO_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2020-02-01,2020-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.71,,historic_runs,BRA_BER,,,,,,BB_CType12_2020_100_25832_etrs89-utm32n.asc
17,True,fixed,auto,PO_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2021-02-01,2021-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.71,,historic_runs,BRA_BER,,,,,,BB_CType12_2021_100_25832_etrs89-utm32n.asc
18,True,fixed,auto,PO_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2022-02-01,2022-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.71,,historic_runs,BRA_BER,,,,,,BB_CType12_2022_100_25832_etrs89-utm32n.asc
19,True,fixed,auto,SU_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2005-02-01,2005-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.92,,historic_runs,BRA_BER,,,,,,BB_CType11_2005_100_25832_etrs89-utm32n.asc
20,True,fixed,auto,SU_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2006-02-01,2006-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.92,,historic_runs,BRA_BER,,,,,,BB_CType11_2006_100_25832_etrs89-utm32n.asc
21,True,fixed,auto,SU_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2007-02-01,2007-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.92,,historic_runs,BRA_BER,,,,,,BB_CType11_2007_100_25832_etrs89-utm32n.asc
22,True,fixed,auto,SU_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2008-02-01,2008-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.92,,historic_runs,BRA_BER,,,,,,BB_CType11_2008_100_25832_etrs89-utm32n.asc
23,True,fixed,auto,SU_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2009-02-01,2009-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.92,,historic_runs,BRA_BER,,,,,,BB_CType11_2009_100_25832_etrs89-utm32n.asc
24,True,fixed,auto,SU_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2010-02-01,2010-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.92,,historic_runs,BRA_BER,,,,,,BB_CType11_2010_100_25832_etrs89-utm32n.asc
25,True,fixed,auto,SU_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2011-02-01,2011-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.92,,historic_runs,BRA_BER,,,,,,BB_CType11_2011_100_25832_etrs89-utm32n.asc
26,True,fixed,auto,SU_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2012-02-01,2012-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.92,,historic_runs,BRA_BER,,,,,,BB_CType11_2012_100_25832_etrs89-utm32n.asc
27,True,fixed,auto,SU_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2013-02-01,2013-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.92,,historic_runs,BRA_BER,,,,,,BB_CType11_2013_100_25832_etrs89-utm32n.asc
28,True,fixed,auto,SU_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2014-02-01,2014-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.92,,historic_runs,BRA_BER,,,,,,BB_CType11_2014_100_25832_etrs89-utm32n.asc
29,True,fixed,auto,SU_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2015-02-01,2015-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.92,,historic_runs,BRA_BER,,,,,,BB_CType11_2015_100_25832_etrs89-utm32n.asc
30,True,fixed,auto,SU_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2016-02-01,2016-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.92,,historic_runs,BRA_BER,,,,,,BB_CType11_2016_100_25832_etrs89-utm32n.asc
31,True,fixed,auto,SU_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2017-02-01,2017-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.92,,historic_runs,BRA_BER,,,,,,BB_CType11_2017_100_25832_etrs89-utm32n.asc
32,True,fixed,auto,SU_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-02-01,2018-11-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,0.92,,historic_runs,BRA_BER,,,,,,BB_CType11_2018_100_25832_etrs89-utm32n.asc
